"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"Patient100"	0.196515932512065	0.307457375628325	0.068318242915098	0.0456067025646511	0.0210224972341043	0.0328842347319982
"Patient10"	0.112901275307643	0.00181753408988126	0.0649824530809321	0.0968430661666407	0.130531054050729	0.155757157556063
"Patient117"	0.0558304517405724	0.14615391136988	0.0390052033343958	0.0571025371650623	0.0586117415203129	0.107288596941008
"Patient11"	0.0102556131230886	0.0478152324477198	0.0683584618510868	0.047128852265744	0.0389704562740992	0.186087371439192
"Patient121"	0.103690534585877	0.132024089162044	0.073098214483637	0.134918133542803	0.0304216205458737	0.143928673752288
"Patient13"	0.00317195311886574	1.20974965692206e-14	0.0527792759849902	0.0320957633032404	0.0643417352265553	0.0928250200891125
"Patient159"	0.0401823927461941	0.0539307955999878	0.0779492999894155	0.14855411755806	0.061169989408695	0.0592499593322601
"Patient15"	0.0239586650493098	0.136319188111185	0.0320931245797032	0.116787146724499	0.119346857822819	0.0684622566218226
"Patient162"	0.100080135370879	0.00250256417786712	0.0153182640143466	0.149067122711553	0.118986603680563	0.0618872200808029
"Patient163"	0.049031161278102	8.44604000081748e-15	0.199780953355616	0.0816595046950318	0.0893682563174216	0.128872332913904
"Patient17"	0.172962617523386	0.234038443263249	0.0220042726873163	1.16149573973962e-14	0.0784427839548946	0.0891436794029554
"Patient187"	0.07479924139787	0.0174620685215412	0.105602935020956	0.00411204951975906	0.0611479733030858	0.0936706374081984
"Patient1"	0.0190175649417138	1.38549738950242e-14	0.136376807796783	0.0200858780438917	0.0209333171926036	0.0408226072935001
"Patient20"	0.00242029706118241	0.230453908474784	0.0115976594048915	0.00829200902652517	0.0698186860687707	0.0807381652544416
"Patient21"	1.5380510422403e-14	1.5380510422403e-14	0.129043216969094	0.00679933708552626	0.0340092838972709	0.10852125602674
"Patient22"	0.00895269084486454	0.00356566382492333	0.00200413884737495	1.44523218640389e-14	0.0609747321567211	0.0671857832600346
"Patient24"	0.0305237969004358	9.78974394494938e-13	0.0597509694310829	9.29102039540618e-15	0.0555474767996195	0.109439411694624
"Patient25"	0.00319223453282118	0.131652905447774	0.0743396990614566	0.00141345532392407	0.282845472403043	0.0441978270602281
"Patient27"	0.297003130044787	0.0146575591255199	1.21350875592331e-14	0.0112692481034012	0.13968814491327	0.15398397650634
"Patient30"	0.0274967633232935	0.140850498395726	0.0363285967060415	0.103821159517997	0.0634421518345527	0.0498335218959271
"Patient31"	0.0198948281353214	0.0225429760842761	0.0247663409035391	0.114242802689085	0.046431040268322	0.114386543588917
"Patient32"	0.0112586344010368	0.0690069595974167	0.00588282706713282	0.0170195336915966	1.42025414968571e-14	0.109686936129105
"Patient33"	0.207682017419563	0.165985044563091	0.0767513432521135	7.53215283802577e-15	0.176398814573584	0.0118288949073652
"Patient34"	0.0213511728834967	1.12542191965964e-14	0.137678589861169	0.0877495954079441	0.363407280242596	4.48684646221316e-13
"Patient35"	0.0312321584966622	0.0193237862841194	0.106512825307766	0.143915806522644	0.027846600340464	0.185070330070556
"Patient38"	1.5418072104009e-14	0.0124017631566667	0.0423581857430058	0.027680638109042	0.0773479923423913	1.5418072104009e-14
"Patient42"	0.0372075440108356	2.15993151379749e-14	0.123641839747419	2.15993151379749e-14	0.0340688622948931	2.15993151379749e-14
"Patient44"	0.140135697385039	0.0930231456918046	0.000816537044456416	0.0702415119149729	0.03692072739393	0.108366565247142
"Patient45"	0.0921636683167738	0.170814407172082	1.12515294822736e-14	1.12515294822736e-14	1.12515294822736e-14	0.159628726484284
"Patient4"	0.0025689352730937	0.0181678956418178	0.0808732299607707	0.0376371064663556	0.0423150457632716	0.0791741868319612
"Patient58"	0.0222294033880157	8.63552560229274e-05	1.16483453696505e-14	0.0932539509538787	1.16483453696505e-14	0.0178792799209769
"Patient61"	0.0293490811134785	0.0667827634959777	0.144554596476281	0.139432421469759	0.099196451932286	0.0381595020859609
"Patient62"	0.0290623275629161	0.131189615077713	0.0292576478349756	9.3990138551329e-15	0.011302358325645	0.0505310159962396
"Patient63"	0.00508681769070422	0.0115749144659375	0.00752028534673823	0.0378589867043084	0.00618390050248576	0.15154039589511
"Patient6"	0.0190566658608545	0.0171002080148465	0.0894824242627688	0.00122374567587	0.0169911988375381	0.0414007061201448
"Patient72"	0.0398051043897846	0.113870320229591	0.100721415707518	0.147670495285425	1.49834803491966e-14	0.102668131576368
"Patient73"	0.00328751408214922	1.54393671279767e-14	0.0447096976388792	2.95016242857345e-14	0.00399741919002414	0.0709165506238311
"Patient7"	0.0161899072406206	0.0223674373064082	0.0388210329694214	0.0966648161435338	0.164540211757231	0.144155711037728
"Patient82"	0.0109277282506378	4.52495894411132e-09	0.0385571729293729	0.0781638705337449	0.040928133303955	0.210611463098295
"Patient83"	1.33667848895511e-14	1.33667848895511e-14	0.097889939055606	1.33667848895511e-14	0.0391613344161425	0.0315315158962184
"Patient86"	0.364471809503585	0.199781266464633	0.0296092586594695	0.0220440186804734	0.0410424264275365	1.04186834275981e-14
"Patient87"	0.330987314789932	0.158368487223561	0.00171927562242967	0.039099120752164	0.0721662105958975	1.33208761859584e-14
"Patient94"	0.0171838808515197	0.149829993381131	1.4203316314869e-14	0.100341088954861	0.110205285968355	0.00994732241169099
