"ID"	"S01"	"S02"	"S03"
"Patient102"	0.0305305330254394	0.220749289401313	1.81807259877777e-14
"Patient105"	6.48712383269113e-15	6.48712383269113e-15	0.00353638789987046
"Patient106"	0.0558912279383325	0.150449871825793	0.27147578970479
"Patient107"	6.59602686099922e-15	6.59602686099922e-15	6.59602686099922e-15
"Patient108"	4.41401191936894e-15	0.000150020718321911	0.00787620064816889
"Patient112"	0.224646240638187	1.04809410689902e-14	0.200837249291776
"Patient116"	0.113956584995119	0.0796895214856534	0.0803310430675307
"Patient125"	0.492605060283134	0.0930772923431014	0.2162110252891
"Patient126"	0.332380629252286	0.143467457305592	0.265524709588775
"Patient127"	0.0462095603695045	1.27871631313706e-14	0.0393303063935463
"Patient130"	0.117399294162211	0.134701901485884	0.297447148804209
"Patient131"	0.0589131388177899	0.134235605029682	0.0164210923172221
"Patient132"	0.520677782035057	0.136632341091466	0.107585124887863
"Patient133"	0.150016339578359	0.145996865345313	0.290415346470795
"Patient134"	0.359884896836919	0.056274179478124	0.1183094367536
"Patient135"	0.198269474992024	0.0703378877021216	0.0396392149681004
"Patient137"	0.412835918694366	0.101419237257595	0.238194725327871
"Patient140"	1.06682163922706e-14	0.00694528154577539	1.06682163922706e-14
"Patient141"	1.03315889851342e-14	1.03315889851342e-14	1.03315889851342e-14
"Patient142"	0.10579263980892	0.118984026566162	0.0210042420645039
"Patient143"	5.71063812705503e-15	5.71063812705503e-15	0.0160883498077932
"Patient144"	0.0159513222620133	0.0338396923200993	0.0245441235819023
"Patient145"	0.150474099600025	0.186239000804456	0.0694416294986178
"Patient146"	0.119989329681624	2.17710259619342e-14	0.0730042774381374
"Patient147"	1.66393882756396e-14	1.66393882756396e-14	0.0176915558764614
"Patient148"	0.022557643227604	0.0821564328823601	1.57585957336003e-14
"Patient149"	0.364933067609624	0.210660349649288	0.188620449427592
"Patient14"	0.23355949685257	0.153341272517093	0.170162412526167
"Patient150"	0.00126870060567386	0.119712183256852	0.0250805842470833
"Patient154"	0.118403897408319	0.0727952891937324	1.50105825660021e-14
"Patient155"	0.0284179556301528	0.0634217188862544	0.0407082744622063
"Patient156"	0.0196595070742056	0.147662384815007	0.0207730525103612
"Patient158"	0.120734103758628	0.0790303348528628	0.196441236141479
"Patient165"	0.0333038383376232	0.124810065013849	0.0989129448937204
"Patient166"	7.28178405289977e-15	7.28178405289977e-15	7.28178405289977e-15
"Patient167"	0.130289314817485	0.252091250702912	0.224893507948454
"Patient168"	2.94339800589046e-11	0.00547163552663553	9.29427100018077e-15
"Patient169"	0.233699108110987	0.0638248188778553	0.168215756821934
"Patient170"	0.0690806816556716	2.57910726491519e-14	0.148252450586779
"Patient172"	0.46606445708774	0.0902710166551479	0.0856732979844218
"Patient173"	0.0406778375828773	0.229678587932109	0.0042896391308306
"Patient179"	4.04001201713229e-15	4.04001201713229e-15	0.00142747380187468
"Patient181"	0.317689983359158	0.0918135867946807	0.226611523603382
"Patient183"	0.176999083014471	1.11931463997258e-14	0.109163006828438
"Patient184"	0.080114305813205	0.0478853127412789	0.0294616539132441
"Patient185"	0.0708945422575239	0.0506951798934072	0.0633731200407908
"Patient188"	8.77212035113825e-06	0.00895900812904708	0.0115847200487686
"Patient18"	7.28745496050413e-15	7.28745496050413e-15	0.0561934074151855
"Patient23"	0.0107697288160671	0.00533265528378173	1.73256740616302e-14
"Patient36"	0.0105187702643204	0.0829764010416327	1.49451986799508e-14
"Patient37"	0.40077947464377	0.102063321748384	0.107464076805143
"Patient40"	7.79557714547416e-15	7.79557714547416e-15	0.00854450587662379
"Patient47"	6.1515810660318e-12	5.47324811927968e-15	0.00765126358586224
"Patient48"	6.06976116524916e-15	6.06976116524916e-15	0.00564388915944778
"Patient51"	0.138164015376205	0.131511504512619	0.15987805284928
"Patient67"	0.000614399996463221	7.54932986533127e-15	7.54932986533127e-15
"Patient75"	0.289924124821958	0.0741374532321022	0.299456761002507
"Patient77"	0.225002662263997	0.193244082247118	0.219899757292659
"Patient78"	0.187091297505982	0.262431835854183	0.171909043617826
"Patient79"	0.103176073278782	0.21611232868453	0.222084693139398
"Patient8"	0.00630221078439529	0.0576600290833804	0.0125629243105201
"Patient96"	0.00266238460145557	1.46363299782578e-14	1.46363299782578e-14
"Patient98"	0.306939127441818	0.127200498787176	0.259514491894792
"Patient99"	0.161161169545211	0.338708178403863	0.071812815918149
"Patient9"	0.000403476262294317	0.00535339294153568	1.13400296400306e-14
"Patient191"	0.155068488415948	0.241255825663661	0.19717503618204
"Patient189"	0.213104439086904	0.0446722622041688	0.102766747922239
"Patient200"	0.218245682910716	0.1575300628493	0.190105513114651
"Patient201"	0.00635528257613342	1.00063348537826e-14	1.00063348537826e-14
"Patient193"	0.313048880384994	0.110568202011098	0.256810450255358
"Patient196"	1.82543205797404e-14	1.82543205797404e-14	0.0147607973425414
"Patient197"	0.0348521706929593	1.33636478147771e-14	0.0005367192166103
"Patient204"	0.140039244429142	0.0823933560555481	0.196300990672103
"Patient205"	2.15726100526278e-14	0.224213319270409	0.132497709328458
