"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"Patient102"	0.0633420862664852	0.169986590627236	0.265911211087177	0.104313965143921	0.208984845202602	0.106111213216576
"Patient105"	0.00175651787847743	0.000584853843278044	1.01520462618944e-14	0.00630014916388458	0.0198748221742994	0.169122570174322
"Patient106"	2.86982013822027e-05	0.0729671863418051	0.0704798128861957	0.302461188515376	0.0694306813449063	0.309331271078504
"Patient107"	5.03948683487696e-15	0.0420333338958075	0.00621950185459985	0.00300175019297122	5.03948683487696e-15	0.0805693392844821
"Patient108"	6.98487134528647e-15	0.0256608813532843	6.98487134528647e-15	0.0303982243326089	6.98487134528647e-15	0.0694434163548141
"Patient112"	0.468162304580215	0.111213600627375	0.130612558934735	0.0986065669610294	0.174445337422515	8.16336686763157e-07
"Patient116"	0.420153291002038	0.138426227191893	0.118710148920455	0.0145569338860968	0.25228112483304	0.055872274166452
"Patient125"	1.09661707274515e-14	0.11621015819919	6.64375929379873e-12	0.54511558204097	0.0522113703129062	0.0811376147714552
"Patient126"	1.60525732358516e-14	0.133342713801168	0.166363089549853	0.326325756101443	0.104401164838079	0.155477914351674
"Patient127"	0.0652380664361871	0.0272947845959679	0.0535913821213056	2.39211693661975e-12	0.806232557177153	5.96117515531322e-06
"Patient130"	0.0477417374757695	0.133766181892627	0.0740688507723925	0.210135111966692	0.219237188505	0.202582188222529
"Patient131"	0.0761992952239518	0.0302951680013028	0.0924859263295197	0.246820656805377	0.049174463449089	0.196483820054205
"Patient132"	0.0295746138111751	0.224874639586322	0.0841806905388963	0.165204345488893	0.491715499373657	1.12385353884488e-14
"Patient133"	0.452986660057545	0.0201199804715481	0.0924020579513813	0.257892906930997	0.105402127279127	0.0389541026904351
"Patient134"	0.55941537998225	0.0806008101071168	0.128261476365066	0.0603647520647876	0.171336598283649	1.02058013108542e-14
"Patient135"	0.0559000907163779	0.109587029489347	0.0979635720927221	0.215136145381653	0.0762356086375583	0.326299347139781
"Patient137"	0.00258878430726936	0.10691008051935	0.191014847312134	0.414109845534146	0.131743861928786	0.0592892507676071
"Patient140"	0.260232403671653	0.0495956938142361	0.0527968623954675	0.0825426847997733	0.070135810563308	0.145762701374928
"Patient141"	0.00695478690482194	0.0994951603797162	0.219885248203991	1.20960651674695e-14	0.0316148255594355	0.153826849177077
"Patient142"	0.0343826692977693	0.158501864531202	0.1302713143495	0.294283095998053	0.103852341657685	0.225396481793691
"Patient143"	0.0199221233355599	0.0244576481955457	0.0161786416642594	0.0224587211271993	3.51364762433367e-15	0.0292928831022678
"Patient144"	0.0219036903412157	0.234260717959518	0.110865090206146	0.0544159307882785	0.107128479098566	0.338081426086274
"Patient145"	1.13913554394436e-06	0.256073021718719	0.215888498566204	0.234546703707444	0.081319259132946	0.212171377739117
"Patient146"	0.0178453163690787	0.107390403219758	0.192824100652802	0.0415535404544567	0.151864105169046	0.363725271071194
"Patient147"	0.00663124167522026	0.0736425972884343	0.117715795443334	0.0343904251801474	0.0452373149747589	0.165687850766686
"Patient148"	0.0326162032628332	0.133344081891829	1.34617877346784e-14	0.0721501407226006	0.0142001924804267	0.313962780433133
"Patient149"	0.103451768222194	0.131113895567296	0.324250248350223	0.263689513558356	0.166885629808867	0.0106089444930455
"Patient14"	0.0503179662239714	0.109825225436082	0.221525510284545	0.238181774003941	0.253972541230033	0.126176982821403
"Patient150"	1.44299773216634e-14	0.235190102713533	0.0533976653383481	0.0327076556070983	0.135771058728203	0.279657437578421
"Patient154"	0.350254992357856	0.291326953991276	0.115562578464457	9.3000143870903e-15	0.20889828832437	0.0339571868620125
"Patient155"	0.671688154324823	0.0171765363507136	0.110932327934513	0.0620435117982446	0.092686177990227	0.0104538769248662
"Patient156"	0.0458464318155079	0.0711061597526219	0.367556201362734	0.0466860744318921	0.164288162468262	0.228514824039768
"Patient158"	0.000957230784238666	0.0413956330099201	0.114676857989834	0.101122404324134	0.0149501485494502	0.508533156121745
