"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"Patient102"	0.145203018718876	0.14597517641434	0.199753223801498	0.0149037930692992	2.00794261197356e-06	0.127890334590924
"Patient105"	0.0157733813149292	4.31985972355405e-05	0.174451331524708	0.0193299890778767	0.0538209369646373	0.00534913762953983
"Patient106"	0.0395812580124337	0.0290549429146163	0.110254075786309	0.118926785743929	0.158974166878304	0.201161194847977
"Patient107"	0.0479125737576545	0.0727902032257009	0.0454930187753044	8.36132957881643e-15	8.36132957881643e-15	8.36132957881643e-15
"Patient108"	0.0249452734707515	1.11552322109731e-14	0.101485117043531	1.11552322109731e-14	0.0158511943756185	0.0194941629545212
"Patient112"	0.209127822605851	0.170805700542375	0.0681932980777482	0.235961656344199	0.105880860995983	0.070263492082581
"Patient116"	0.364691650145017	0.186218139993682	0.178387884291903	0.0799375323187897	0.0877527711494347	0.0228828482691309
"Patient125"	0.0095914166493585	0.0167779595361611	0.00789410849007005	0.548089783211299	0.000845782314427672	0.0190869493414608
"Patient126"	0.0500884429940428	0.0470522723136384	0.141818728247851	0.240580003706913	0.24141167950223	0.0788348822414113
"Patient127"	0.133469463728223	0.0817194476481589	0.134268332448864	0.0593567803672917	0.00429029184387448	0.12335149807165
"Patient130"	0.134106730341732	0.0797828929803954	0.309948609295439	0.057444267182675	0.00372370021983421	0.172818817839353
"Patient131"	0.0661706711659972	0.0941932142796976	0.0395284343211937	0.0738596356735159	0.246447029419531	0.124742337885217
"Patient132"	0.0844913181937603	0.438136108578568	6.6432359488424e-15	0.197849847253573	0.0487040621636313	0.141969618432959
"Patient133"	0.00928208361791268	0.0751295517572313	0.0555375335490193	0.134373741198795	0.150478713961526	0.29400877248848
"Patient134"	0.225572515736667	0.0903448763818129	0.0116825902087212	0.257138043641473	0.1200003698351	0.198159170644331
"Patient135"	0.0650120231786089	0.0781161084757847	0.0754235825287942	0.0225674678723054	0.442869258434635	0.0311170421352284
"Patient137"	0.0715213983203478	0.0865770171378255	0.0241530976347516	0.294252740147468	0.15368436461727	0.190479523527502
"Patient140"	0.0421004877577057	0.0381832289953337	0.3224487045416	1.44392015779959e-14	0.0633421970941434	0.0586104694792533
"Patient141"	0.0574174458543004	0.0747932920372805	0.0770551790287296	1.47616984732826e-14	0.0558723808136905	0.00575724511324997
"Patient142"	0.10561783561804	0.0123281059500233	0.0776682606136035	0.0682991192065477	0.30562460262686	0.170775688351732
"Patient143"	0.0262990429411914	7.35283621876866e-15	0.00947179345762217	7.35283621876866e-15	0.0150149158356164	7.35283621876866e-15
"Patient144"	0.14711813419909	0.168551798527386	0.13425246270327	0.0318860961582171	0.238125609146921	0.0494692322334525
"Patient145"	0.213956936077675	0.110618346411714	0.0677779166398834	0.184015184802755	0.29874567102399	0.0749832886909403
"Patient146"	0.193669441382766	0.0686899393318725	0.166220172694398	0.021422110371999	0.180107573649422	0.0924803435209733
"Patient147"	0.0658592851468453	0.0830586793599442	0.177876969569723	0.0134017293147698	1.64461597337419e-14	0.0958945508254645
"Patient148"	0.0775970111218147	0.220277605538881	0.0790274922723677	0.0427461413216138	0.194892639646082	0.0165959788267507
"Patient149"	0.108959246602513	0.0699895842875177	0.0310845951506293	0.219617481993754	0.221235627706026	0.22637383717351
"Patient14"	0.143911502001178	0.166078141806143	0.125881397619464	0.111275908517435	0.0943697427825196	0.221487253633276
"Patient150"	0.141385651657067	0.0126953460464384	0.0392427684145272	0.0747687667173724	0.211415906855575	0.03287756321406
"Patient154"	0.475261532429173	0.0554635506196299	0.107361879548721	0.127021816309847	0.121665043534671	6.84874467363342e-15
"Patient155"	0.146121738119195	0.183487326637083	0.0588633008687503	0.123004641682903	0.11934250594664	0.119013945516807
"Patient156"	0.176383997418591	0.0684438904113512	0.130489356124757	0.0152387452457621	0.289607504578605	0.173497147509211
"Patient158"	0.0577638763594225	0.0262285293362062	0.351412514370378	0.034218281122216	0.16282947134301	0.0926859817084276
"Patient165"	0.0289605404456732	0.0546244406491641	0.206620906430591	0.0521859296060189	0.273705263673255	0.237952895611811
"Patient166"	0.0365696406467789	0.0572013751533649	0.265696914605426	1.57982003496438e-14	0.0143405949276607	0.0514326628705312
"Patient167"	0.037774151244739	0.137727647325897	0.204463588121757	0.118398916685604	0.0930977134691538	0.0597734328802422
"Patient168"	0.0429321148187464	0.0631707663155812	0.280965336489947	0.0183506315884209	0.0764972922543915	0.106480422668677
"Patient169"	0.162006287873916	0.0684297152100793	0.0890605460836645	0.436582556742586	0.00652882571419423	0.0174420777865821
"Patient170"	0.0860798658983894	0.158879863131549	0.0782933955380014	0.155164260479262	0.151361742216789	0.0266812614951287
"Patient172"	0.300402857239365	0.0289435195322385	0.0497431362398371	0.470974000888808	0.0982505161879862	1.24841358083315e-05
"Patient173"	0.0663028150286378	0.148777613756662	0.235058691536279	0.0491741269830746	0.0978143997367304	0.121275958617208
"Patient179"	0.0197090211270384	1.29277308977127e-14	0.0275887671260611	1.29277308977127e-14	1.29277308977127e-14	0.0400924702486283
"Patient181"	0.257059178352299	0.2042114337483	0.107425194114242	0.236241826644175	0.0820541602402863	0.0740103482564714
"Patient183"	0.206338178543107	0.146248136024562	0.0990397973789661	0.0950216281447504	0.0949406516160572	0.0441728999324972
"Patient184"	0.117222581948916	0.183630409419876	0.0484779214467034	0.0415304895735156	0.0300481596820715	0.123786118894008
"Patient185"	0.257114684637801	0.179096162980585	0.0968914103150986	0.15746233967339	0.114895206872962	9.00613229142077e-15
"Patient188"	0.0943308000953066	1.54816031844693e-14	0.311375281769273	1.54816031844693e-14	0.221731469505869	1.54816031844693e-14
"Patient18"	0.0685479654874992	0.0302307653612933	0.309617332880915	0.00267754142199431	0.0206198739005092	0.0385373296286288
"Patient23"	0.068416138544666	0.100159378129139	0.346872690703191	1.44899882276898e-14	0.143680333369315	1.35625406973283e-08
"Patient36"	0.106964415699199	0.468936297730264	0.113492139245966	0.0180243143593792	0.0136521827078032	0.0436881055173632
"Patient37"	0.256995981434077	0.0603684727553334	0.0179737329713989	0.17980589463565	0.304499064616306	0.0749376332970565
"Patient40"	0.0546496716374684	0.195709849048652	0.0961904267293858	1.68723429634843e-14	0.079877350111659	0.0252451082897881
"Patient47"	0.113059085248329	0.0583633300185533	0.492333917362379	0.00718362329321571	0.0330384781664565	0.030295021968593
"Patient48"	0.0390022777589899	0.0490172129313484	0.0664697612489613	1.54004989320067e-14	0.000245009351787778	0.0393633824286043
"Patient51"	0.173535752128233	9.60170132160119e-15	9.60170132160119e-15	0.149178354963401	0.195072038329474	0.0995516635175893
"Patient67"	0.0145282544562308	0.0437574510589924	0.242402660895659	1.43108453128247e-14	0.142989284330493	1.43108453128247e-14
"Patient75"	0.0498587620697186	1.09754732947822e-14	0.13202919679029	0.192996567808066	0.0204523204950678	0.138033363376321
"Patient77"	0.0771627183245138	0.198691086947886	0.0767195230953017	0.0557965401377773	0.118766392389848	0.25262158926755
"Patient78"	0.14080865975124	0.106579990621002	0.0709796278810452	0.203841708361336	0.272966662276199	0.19444279317214
"Patient79"	0.187870471993413	0.0733452800286729	0.087493529155697	0.147743486310647	0.176027562201433	0.209884088539678
"Patient8"	0.185034612621018	0.0313657452390719	0.369653331807528	0.0409023214604069	0.149899523201512	0.0458559018126736
"Patient96"	0.0206926301926288	0.015600545140882	0.0394909126930976	0.0114527368815532	1.00500720728261e-14	0.0776408146778129
"Patient98"	0.114175677992254	0.452361020795726	0.0404910910998212	0.100240974831854	0.0267856094559126	0.145212111037878
"Patient99"	0.0689375318121966	0.076700031343003	0.0258626204275375	0.152117557847464	0.173819800328689	0.360182201062399
"Patient9"	0.340507206664847	0.0380699550313366	2.19177068786284e-13	0.126298216261466	0.164341115993979	1.63706198231449e-14
"Patient191"	0.079338695403725	0.0998786737244417	0.000160541451680459	0.164647730648518	0.0858872398349887	0.31323312282506
"Patient189"	0.340241498823201	0.0914805644373722	0.0732570375647042	0.248006344839	0.136216839044039	0.0514140417648617
"Patient200"	0.224312537311123	0.187924279404602	0.339708173038049	0.0817830153301168	0.114668481671282	0.00698922014425101
"Patient201"	0.234425036529644	0.0576215696458399	0.102775119936907	9.81972139489106e-15	0.210880953872961	0.0105882265503955
"Patient193"	0.189327641249232	0.182872196715901	0.180643171737055	0.271233376316013	0.00715241354505992	1.17918097498053e-14
"Patient196"	0.0491630918342744	0.146187687090535	0.218461677002864	0.00292750632388387	1.33660125699677e-14	0.170805471867181
"Patient197"	0.0477154483376775	0.0544548941711721	0.212793540279528	1.13923381208605e-14	1.13923381208605e-14	0.131740221708728
"Patient204"	0.103936487580748	0.0858317853724018	0.141635255665961	0.127906055667859	0.126733760111835	0.100907138523231
"Patient205"	0.089225216864923	0.0938629862944668	0.142576051522806	0.0107146946324008	0.169215133781655	0.267166863499495
