"ID"	"Cell State"
"X2d6a79464a71daaa1047f0a261d5eb07"	"S01"
"X2d0a4d6a0245eddc55832f3567edc1b0"	"S01"
"Xa52b10d9515b8daf85f93fc3df9c321a"	"S01"
"X8224b875993f51494672ed5edf92ea3c"	"S01"
"X554f7b5a74e90e51d22efb03b2581225"	"S01"
"X298d47047ef997bfd4c253dca2cc0588"	"S01"
"Xc69e258f8fe7aab43915d72d4842bfd5"	"S01"
"X2111fa69962467ac3774495b34549ca8"	"S01"
"X8a140e4066fb9259506e894e021e10b9"	"S01"
"Xe3eac6c3ae811b0f2d329190bcc32bfb"	"S01"
"X41adc178a0c91e8182417308a2ead0af"	"S01"
"Xdb0d336db224827a56359f1b1ea13654"	"S01"
"X4e0cabea7a8fc8b2f393af82854d435e"	"S01"
"Xcc33070c83d7aee7287a6b209863d68b"	"S01"
"X490c18e70438680918d3ff4b611c6a0a"	"S01"
"X76ac22987ded8959b45ee5e35375195f"	"S01"
"X08bfc83017b14d6fa292cd9ac8bd7385"	"S01"
"Xd26a56af9e989bd7a353d2c65db6fd51"	"S01"
"Xbd32d5ec6f302b0dd3ef0b0231735cfc"	"S01"
"X2c2ff92bdb686414aa7bed3fce8ae0e4"	"S01"
"X2c91f66dca78e448a837b6254bb8e805"	"S01"
"X31a31f6f73350abb07e3ca22680fe24a"	"S01"
"X9718340b6883560b297085e4d4eae2c0"	"S01"
"X5cb4498c894563eb4e95ed48fa91c130"	"S01"
"X8d0423de9b5b093cd0f8a2c432c45122"	"S01"
"Xdbc72bd3fa34e684b07e70fe883e8624"	"S01"
"X7725ac4bf4b4ef6da024ec4830c6487c"	"S01"
"X80e9754208c8276033c7a0a2853360db"	"S01"
"Xe2f05dd9123c59886e6de8a27a9d7492"	"S01"
"X5eec42ac3d60e17a0ee801790e5f8c1a"	"S01"
"X8bd3ad55b8f72e406430d3ea0fd79497"	"S01"
"X307540b071972183f79089bf2968194e"	"S01"
"X40ff97e3fb95317c43e78c54e4af6fa2"	"S01"
"X407f1a2a5483e7c610000f4a7d6626b8"	"S01"
"Xf530811b226c90782cb8ddd71e28cfce"	"S01"
"X7c276f502728f99d72029bdb8570114a"	"S01"
