"ID"	"Cell State"
"SAM698d8d76b934"	"S01"
"SAM7d2dfba6cd84"	"S01"
"SAMb419a8fcbfcd"	"S01"
"SAM2070b416069c"	"S01"
"SAMa1e62d323e1d"	"S01"
"SAM8e8ef2368dfa"	"S01"
"SAM39eb94fa504d"	"S01"
"SAMae4da274eded"	"S01"
"SAM4b0175e8db6e"	"S01"
"SAM99a46b9eec27"	"S01"
"SAMb0d11db9aa79"	"S01"
"SAM1e9c4d1d39ae"	"S01"
"SAM0571f17f4045"	"S01"
"SAM0d855cff64e6"	"S01"
"SAM2bba8cb35e48"	"S01"
"SAMc919aebc7fdd"	"S01"
"SAM9aa6a095a9d6"	"S01"
"SAMd2492b2a31bb"	"S01"
"SAM7d7c54623618"	"S01"
"SAM9b9d48b0b02c"	"S01"
"SAM95c70496ffb5"	"S01"
"SAM1ab1b28d9f2b"	"S01"
"SAM1bcc62d8290c"	"S01"
"SAM6662f5181f87"	"S01"
"SAMf20b827dca51"	"S01"
"SAM7f0d9cc7f001"	"S02"
"SAMcf018fee2acd"	"S02"
"SAMd027124354ce"	"S02"
"SAMc0d625a50eb8"	"S02"
"SAM18039827e1b9"	"S02"
"SAMc692536a795a"	"S02"
"SAM9a2cf3c06fb3"	"S02"
"SAM6cb230f208a8"	"S02"
"SAMa9ca8536d2b1"	"S02"
"SAM7fb6987514a4"	"S02"
"SAMb0a83e5fbde9"	"S02"
"SAMdb3f50c9129c"	"S02"
"SAM52e3fa3ad574"	"S02"
"SAMd98bac0a070f"	"S02"
"SAMfd947610629d"	"S02"
"SAMe7bcab05402e"	"S02"
"SAMd697ba701077"	"S02"
"SAM166a419a4e5a"	"S02"
"SAMaf7578d55754"	"S02"
"SAMe97af0feefdf"	"S02"
"SAM3330c03fdf00"	"S02"
"SAMc2a1820d4e6b"	"S02"
"SAMe9475f77504b"	"S02"
"SAMa535fcdf18a0"	"S02"
"SAMfddc359e862b"	"S02"
"SAM59f392864f5d"	"S02"
"SAMcee0fa8c05b4"	"S02"
"SAM7aa01fc49a80"	"S02"
"SAM3894ac3956a5"	"S02"
"SAM3779e979db6b"	"S02"
"SAMbf91f27e7f9b"	"S02"
"SAM957378bd907f"	"S02"
"SAM2624229effe8"	"S02"
"SAM8e469834acc1"	"S02"
"SAM568ce160abd9"	"S02"
"SAM0f956e757453"	"S02"
"SAMb2e4a082541a"	"S02"
"SAM2b672f4336c7"	"S02"
"SAM1f3c93814cb9"	"S02"
"SAM6ff654a20f98"	"S02"
"SAMef0e3d2415fd"	"S02"
"SAM75f12d1a55fc"	"S02"
"SAM3b1066e5801b"	"S02"
"SAM5cc2d9036053"	"S02"
"SAM6157c8f38b72"	"S02"
"SAMf2ce197162ce"	"S03"
"SAM85e41e7f33f9"	"S03"
"SAMb2f1d0e54ece"	"S03"
"SAM36d87392593b"	"S03"
"SAM4edbe45817b3"	"S03"
"SAM36a9225b0222"	"S03"
"SAMe7bf6c015192"	"S03"
"SAM6dd7ad1d797d"	"S03"
"SAM557dde1b9f3e"	"S03"
"SAMb8f13a0525a6"	"S03"
"SAMb963dda93cfd"	"S03"
"SAM9fb814c22bdb"	"S03"
"SAM63405b04ab2d"	"S03"
"SAMe9ae8beb82fa"	"S03"
"SAMd215b503f99a"	"S03"
"SAMbf1a3ae828e6"	"S03"
"SAM9cafb905b36a"	"S03"
"SAM032c642382a7"	"S03"
"SAM8884fe446d20"	"S03"
"SAM0ce9c983b20f"	"S03"
"SAM61baf919bb01"	"S03"
"SAM2f228939632f"	"S03"
"SAM297c0301e861"	"S03"
"SAMcabb6d58ff55"	"S03"
"SAMd636e3461955"	"S03"
"SAM31f41dd0d6ca"	"S03"
"SAM62fb1388c871"	"S03"
"SAM2570ff4aae6e"	"S03"
"SAM9448d858692c"	"S03"
"SAM4501e41e4751"	"S03"
"SAM714285adf612"	"S03"
"SAMa913c6139ec8"	"S03"
"SAM75142fcab9df"	"S03"
"SAM025b45c27e05"	"S03"
"SAMf3a9bce50099"	"S03"
"SAMffa5c7cad0e5"	"S03"
"SAM34430ef08e5b"	"S03"
"SAMe94c30c30616"	"S03"
"SAMcb132b0cdd2c"	"S03"
"SAMee3844cc0b9f"	"S03"
"SAM73b653ae20d1"	"S03"
"SAMdcae54fcd7fa"	"S03"
"SAM28687037e4ff"	"S03"
"SAM45c8e6412c66"	"S03"
"SAM0bdb3428bd13"	"S03"
"SAMeb587a68006b"	"S03"
"SAM553c3c35b847"	"S03"
"SAM3e04eb914f3d"	"S03"
"SAMe1eb5d988760"	"S03"
"SAMe3210d3632b4"	"S03"
"SAMb15ad09d6e24"	"S03"
"SAM19fec8f3b3bd"	"S03"
"SAM6083aac8db99"	"S03"
"SAMaff272833538"	"S03"
"SAM415f36ad349e"	"S03"
"SAMad83c9c53537"	"S03"
"SAMd7d57ee3a863"	"S03"
"SAM4581bac493af"	"S03"
"SAM30cf07d4874f"	"S03"
"SAMd135d5867fe3"	"S03"
"SAM9e11ec6bea80"	"S03"
"SAM6cbc10abddb0"	"S03"
"SAMdee1011782cd"	"S03"
"SAM203dcf14f927"	"S03"
"SAM978a587b207e"	"S03"
"SAM76a431ba6ce1"	"S03"
"SAM7a9093b9c7e9"	"S03"
"SAMab8052a03398"	"S03"
"SAMd3bd67996035"	"S03"
"SAMd3601288319e"	"S03"
"SAMba1a34b5a060"	"S03"
"SAMfb7aec7cb0e2"	"S03"
"SAMfed609955db9"	"S03"
"SAM6780ed436b55"	"S03"
"SAM9410b866974a"	"S03"
"SAM5d989c86255e"	"S03"
"SAM49d48750e294"	"S03"
"SAMd43f8933066b"	"S03"
"SAM1c0ecfb3eb63"	"S03"
"SAMbcb07ba81cee"	"S03"
"SAM670649e105b5"	"S03"
"SAM5fe7a81a39dd"	"S03"
"SAM29da928587ad"	"S03"
"SAM12502d970c10"	"S03"
"SAM9681450bbc90"	"S03"
"SAM181b638b8248"	"S03"
"SAMbfdffb97c446"	"S03"
"SAM3b15b4c6311d"	"S03"
"SAM00b9e5c52da9"	"S03"
"SAM1c8b086175ca"	"S03"
"SAM1dda30f1c5be"	"S03"
"SAM2eb07dedf07f"	"S03"
"SAMbda79f955628"	"S03"
"SAMff41c4e8c08f"	"S03"
"SAM47fc46c3d6be"	"S03"
"SAMaf42c1541269"	"S03"
"SAM771445e92421"	"S03"
"SAM727c0e92a2a7"	"S03"
"SAM6f2a102a99df"	"S03"
"SAMe56c96c51190"	"S03"
"SAMe0c49ea0df5d"	"S03"
"SAM59289ca42c99"	"S03"
"SAM18b9351e265a"	"S03"
"SAM7fb7a13c096b"	"S03"
"SAM5fc9ae0aed1f"	"S03"
"SAM65afda25b920"	"S03"
"SAMd5ab7fbfab4e"	"S03"
"SAM80c6183220e6"	"S03"
"SAM1abf01dd4544"	"S03"
"SAM1f66db567eb5"	"S03"
"SAMe7e4f7c076a7"	"S03"
"SAM8b4b8b0f9e73"	"S03"
"SAM2de7cffb5f72"	"S03"
