"ID"	"Cell State"
"PB.16.034"	"S01"
"PB.16.051"	"S01"
"PB.16.055"	"S01"
"PB.16.067"	"S01"
"PB.16.069"	"S01"
"PB.16.004"	"S02"
"PB.16.022"	"S02"
"PB.16.024"	"S02"
"PB.16.025"	"S02"
"PB.16.030"	"S02"
"PB.16.039"	"S02"
"PB.16.040"	"S02"
"PB.16.068"	"S02"
"PB.16.056"	"S03"
"PB.16.062"	"S03"
"PB.16.064"	"S03"
"PB.16.018"	"S04"
"PB.16.029"	"S04"
"PB.16.031"	"S04"
"PB.16.032"	"S04"
"PB.16.043"	"S04"
"PB.16.048"	"S04"
"PB.16.054"	"S04"
"PB.16.019"	"S05"
"PB.16.035"	"S05"
"PB.16.038"	"S05"
"PB.16.059"	"S05"
"PB.16.066"	"S05"
