"ID"	"Cell State"
"X33fe25b1ae7fa2d13b0cebf465cda997"	"S01"
"X5f3b11e482ba5ccba88a68c876d2bd7f"	"S01"
"X2d0a4d6a0245eddc55832f3567edc1b0"	"S01"
"X4a34559af77fd876c74d98c1fd581aa2"	"S01"
"X419386e8a743aeb75391e63f78626066"	"S01"
"Xbebf2ac740744d14a9c3196582773a65"	"S01"
"X7354734a2b7779fc172b8fa7062a7f3e"	"S01"
"X52f703a2b6e5dab5d2ebebc819a4573e"	"S01"
"Xfab3b2d8b666d807064f44cf2671b1af"	"S01"
"X1cb9577d90b2a15e59959f7f911e6689"	"S01"
"X5baf5f197178a266431ca78d774ff73b"	"S01"
"X8bbe55f701b2cb1741c3c8d3fc3e5f6f"	"S01"
"Xa755249e1936fab43234f6197f086d49"	"S01"
"X204ddf78ad407b33588fa54b11ec93fe"	"S01"
"X578b112acdb7a280ee7a333abf958899"	"S01"
"Xd8a98f3c034a61b3e4cd919898417385"	"S01"
"X5f162dc7790e03b002ba75d5db05e0a9"	"S01"
"Xee16677b2ffe9e0e7d96098fa2c24767"	"S01"
"Xd39e67062f2c834c707b85a43e564cd4"	"S01"
"Xfb9f7ca2d7daad69473b1192db1d7c30"	"S01"
"X942564e2e36dccdd3abc6e3da165c8c6"	"S01"
"X6a727ed3fd694e28e7e3c8df3dea219b"	"S01"
"X171f97d4eec5de4815cf607897a88f0c"	"S01"
"Xffe3f3ffcd97736a82990cc6f81078d3"	"S01"
"Xc9ec93cdf458fbc79be404feb57bb494"	"S01"
"X32be66e8f559cffac728b3bc63ddeab7"	"S01"
"X869639c8cf3ec578813dc01d0be68693"	"S01"
"Xdb0d336db224827a56359f1b1ea13654"	"S01"
"X14bb75459fb5c1a32548e228da504349"	"S01"
"X8cc1da58e4181fe5bc06b8bf8d61319a"	"S01"
"X48e13f7e3294458f4ec622516f632d11"	"S01"
"X4c5d2d4d935901608238afa354af9e31"	"S01"
"X4e0cabea7a8fc8b2f393af82854d435e"	"S01"
"X31fa1e19b01dc9f394e3137d9233ac7f"	"S01"
"Xc89fc7348dd8c1385404fc2e54eb5dc8"	"S01"
"Xd0a1c785570866e67fda7b0c34acfd22"	"S01"
"Xe33838348374cf6c65cb5a6baa2b4c4b"	"S01"
"Xc646bb117ef7c10a0088395cac42ce55"	"S01"
"X1faafa1d86ddce2725e2603243a8c37e"	"S01"
"Xd526d42acae6d1b12f5e30487a55e78d"	"S01"
"X398c18c873a0a6fed544ad1036ee9c5d"	"S01"
"Xc47444ad611f007560f0c1a76a2e7136"	"S01"
"X607e71afdc7087fd9311b272eab73044"	"S01"
"Xfdb742505b30978af60b426c93a32f9e"	"S01"
"X33ba1e8c2ebd0601d58598d409bbce02"	"S01"
"Xc34326aa3930cff64eb1b7d41a118de6"	"S01"
"X00f9c65e32de1453c94e179f97f944d8"	"S01"
