"ID"	"Cell State"
"SAM85e41e7f33f9"	"S01"
"SAMdf3e42c8672a"	"S01"
"SAM36d87392593b"	"S01"
"SAM4edbe45817b3"	"S01"
"SAMe7bf6c015192"	"S01"
"SAM468a9e1dc821"	"S01"
"SAMd1bd63734394"	"S01"
"SAMe5bc41772bc9"	"S01"
"SAMd4c0837b0997"	"S01"
"SAM0ce9c983b20f"	"S01"
"SAM9539a4f19ebc"	"S01"
"SAM110501d0eedb"	"S01"
"SAMd98bac0a070f"	"S01"
"SAM943df5cf15df"	"S01"
"SAM39eb94fa504d"	"S01"
"SAM2570ff4aae6e"	"S01"
"SAM4501e41e4751"	"S01"
"SAM2dc578e0165f"	"S01"
"SAM14df63a65411"	"S01"
"SAM3cb94b0d5297"	"S01"
"SAMa424c75831b4"	"S01"
"SAM45c8e6412c66"	"S01"
"SAM0a7c2091dd56"	"S01"
"SAMe3210d3632b4"	"S01"
"SAM7893196e0e89"	"S01"
"SAM3f446449bf81"	"S01"
"SAMb0d11db9aa79"	"S01"
"SAMa1871f491b02"	"S01"
"SAMb470eb8f04be"	"S01"
"SAM1e9c4d1d39ae"	"S01"
"SAMe41b1e773582"	"S01"
"SAMba1a34b5a060"	"S01"
"SAMf2aae1443f67"	"S01"
"SAM5c139c5c1c4f"	"S01"
"SAM6780ed436b55"	"S01"
"SAM1c0ecfb3eb63"	"S01"
"SAMbcb07ba81cee"	"S01"
"SAM670649e105b5"	"S01"
"SAM3b15b4c6311d"	"S01"
"SAM00b9e5c52da9"	"S01"
"SAM59b825252c0d"	"S01"
"SAM25510f300d79"	"S01"
"SAM1a87df750b9d"	"S01"
"SAM7829a341b9f3"	"S01"
"SAM7538ad9ff524"	"S01"
"SAM6662f5181f87"	"S01"
"SAM59289ca42c99"	"S01"
"SAM5fc9ae0aed1f"	"S01"
"SAM31d9176e11fb"	"S01"
"SAM04c589eb3fb3"	"S01"
"SAM80c6183220e6"	"S01"
"SAMe7e4f7c076a7"	"S01"
"SAM4caabd64e7fd"	"S01"
"SAMc6eff056c89a"	"S01"
"SAM7f0d9cc7f001"	"S02"
"SAMc0d625a50eb8"	"S02"
"SAMc692536a795a"	"S02"
"SAM9a2cf3c06fb3"	"S02"
"SAM557dde1b9f3e"	"S02"
"SAMa9ca8536d2b1"	"S02"
"SAM9fb814c22bdb"	"S02"
"SAM7fb6987514a4"	"S02"
"SAM7d2dfba6cd84"	"S02"
