"ID"	"Cell State"
"EA595454"	"S01"
"EA595597"	"S01"
"EA595647"	"S01"
"EA632138"	"S01"
"EA639019"	"S01"
"EA639081"	"S01"
"EA639107"	"S01"
"EA639114"	"S01"
"EA639152"	"S01"
"G138701_RCCBMS.00036.T_v1_RNA_OnPrem"	"S01"
"G138701_RCCBMS.00093.T_v1_RNA_OnPrem"	"S01"
"G138701_RCCBMS.00113.T_v1_RNA_OnPrem"	"S01"
"G138701_RCCBMS.00136.T_v1_RNA_OnPrem"	"S01"
"G138701_RCCBMS.00194.T_v1_RNA_OnPrem"	"S01"
"P66282.03F.Run1_S12_L001"	"S01"
"P66282.07G.Run1_S3_L001"	"S01"
"P66282.11B.Run1_S16_L002"	"S01"
"P66282.11G.Run1_S20_L002"	"S01"
"P66282.12A.Run1_S22_L002"	"S01"
"P66287.07G.Run1_S4_L001"	"S01"
"P66291.01B.Run1_S2_L001"	"S01"
"P66291.06C.Run1_S26_L002"	"S01"
"P66291.09H.Run1_S15_L001"	"S01"
"P66291.10C.Run1_S18_L002"	"S01"
"P66425.01A.Run1_S1_L001"	"S01"
"P66425.02F.Run1_S7_L001"	"S01"
"P66425.03D.Run1_S11_L001"	"S01"
"P66451.04A.Run1_S2_L001"	"S01"
"P66451.05D.Run1_S8_L001"	"S01"
"P66507.06C.Run1_S10_L001"	"S01"
"P66507.10C.Run1_S3_L001"	"S01"
"P66507.11G.Run1_S11_L001"	"S01"
"RCC_117_T_SCR"	"S01"
"RCC_14_T_SCR"	"S01"
"RCC_41_T_SCR"	"S01"
"RCC_50_T_SCR"	"S01"
"EA595653"	"S02"
"EA632174"	"S02"
"EA639099"	"S02"
"EA639156"	"S02"
"G138701_RCCBMS.00097.T_v1_RNA_OnPrem"	"S02"
"G138701_RCCBMS.00099.T_v1_RNA_OnPrem"	"S02"
"G138701_RCCBMS.00125.T_v1_RNA_OnPrem"	"S02"
"G138701_RCCBMS.00154.T_v1_RNA_OnPrem"	"S02"
"P66282.09E.Run1_S10_L001"	"S02"
"P66287.01D.Run1_S1_L001"	"S02"
"P66287.04D.Run1_S18_L002"	"S02"
"P66287.11D.Run1_S23_L002"	"S02"
"P66291.02E.Run1_S7_L001"	"S02"
"P66432.03C.Run1_S30_L002"	"S02"
"P66432.08B.Run1_S23_L002"	"S02"
"P66451.08H.Run1_S26_L002"	"S02"
"P66507.01E.Run1_S19_L002"	"S02"
"P66507.01G.Run1_S20_L002"	"S02"
"P66507.09C.Run1_S26_L002"	"S02"
"EA595564"	"S03"
"EA595628"	"S03"
"EA595660"	"S03"
"EA595720"	"S03"
"EA632813"	"S03"
"EA639153"	"S03"
"G138701_RCCBMS.00008.T_v1_RNA_OnPrem"	"S03"
"G138701_RCCBMS.00084.T_v1_RNA_OnPrem"	"S03"
"G138701_RCCBMS.00092.T_v1_RNA_OnPrem"	"S03"
"G138701_RCCBMS.00141.T_v1_RNA_OnPrem"	"S03"
"P66282.03D.Run1_S11_L001"	"S03"
"P66282.05F.Run1_S22_L002"	"S03"
"P66282.10F.Run1_S13_L002"	"S03"
"P66291.07H.Run1_S5_L001"	"S03"
"P66291.09A.Run1_S10_L001"	"S03"
"P66432.06D.Run1_S11_L001"	"S03"
"P66451.02A.Run1_S20_L002"	"S03"
"P66451.02B.Run1_S21_L002"	"S03"
"P66451.06G.Run1_S14_L001"	"S03"
"P66451.07E.Run1_S19_L002"	"S03"
"P66507.03H.Run1_S30_L002"	"S03"
"P66511.08E.Run1_S22_L002"	"S03"
"RCC_102_T_SCR"	"S03"
"EA632149"	"S04"
"EA632753"	"S04"
"G138701_RCCBMS.00044.T_v1_RNA_OnPrem"	"S04"
"G138701_RCCBMS.00057.T_v1_RNA_OnPrem"	"S04"
"P66291.07E.Run1_S3_L001"	"S04"
"P66425.07A.Run1_S1_L001"	"S04"
"P66451.06C.Run1_S12_L001"	"S04"
"P66451.07C.Run1_S17_L002"	"S04"
"P66507.10D.Run1_S4_L001"	"S04"
"P66511.09B.Run1_S26_L002"	"S04"
"EA595661"	"S05"
"EA639040"	"S05"
"G109543_RCCBMS.00007.T_v1_RNA_OnPrem"	"S05"
"G109543_RCCBMS.00145.T_v1_RNA_OnPrem"	"S05"
"G109543_RCCBMS.00147.T_v1_RNA_OnPrem"	"S05"
"G138701_RCCBMS.00028.T_v1_RNA_OnPrem"	"S05"
"P66282.01B.Run1_S1_L001"	"S05"
"P66425.08C.Run1_S5_L001"	"S05"
"P66425.11F.Run1_S14_L002"	"S05"
"P66511.04H.Run1_S7_L001"	"S05"
"P66511.05E.Run1_S11_L001"	"S05"
"P66511.07H.Run1_S19_L002"	"S05"
"P66511.10H.Run1_S5_L001"	"S05"
